Row,,Cause_Group,Total_Group_Deaths_Y2022,,,,Cause_Group,Total_Group_Deaths_Y2021,,,
1,9,I,424397,,,9,I,3500536,,,
2,3,C,294592,,,3,C,2311524,,,
3,10,J,99500,,,19,U,1788919,,,
4,18,R,81152,,,10,J,1100910,,,
5,19,U,70551,,,5,E,652820,,,
6,6,F,67339,,,18,R,603317,,,
7,7,G,52778,,,7,G,565818,,,
8,11,K,50867,,,11,K,556730,,,
9,5,E,48688,,,22,X,463411,,,
10,22,X,31692,,,14,N,326497,,,
11,21,W,27547,,,6,F,325331,,,
12,14,N,25671,,,21,W,198033,,,
13,1,A,16219,,,1,A,194151,,,
14,4,D,14058,,,20,V,152502,,,
15,20,V,12760,,,4,D,126497,,,
16,13,M,7402,,,23,Y,93177,,,
17,23,Y,6185,,,2,B,69040,,,
18,2,B,5223,,,16,P,64023,,,
19,16,P,4979,,,13,M,62123,,,
20,17,Q,4871,,,17,Q,47976,,,
21,12,L,3427,,,12,L,36816,,,
22,0,1,733,,,15,O,9154,,,
23,15,O,199,,,0,1,3376,,,
24,8,H,141,,,8,H,751,,,
25,24,AAA (All Causes),1350238,,,24,AAA (All Causes),13250055,,, 
