,,Cause,Total_Deaths_Y2022,,,Cause,Total_Deaths_Y2021,,,Cause,Total_Deaths_Y2020,,,Cause,Total_Deaths_Y2019,,,Cause,Total_Deaths_Y2018,,,Cause,Total_Deaths_Y2017,,
,297,AAA,1350238,,433,AAA,13250055,,438,AAA,16700133,,463,AAA,17399789,,463,AAA,17805524,,480,AAA,17962081,,
,4227,U071,59599,,5890,U071,1594205,,6033,U071,1439678,,0,1000,2380768,,0,1000,2417154,,0,1000,2401603,,
,4225,R99,55388,,2816,I219,600239,,2876,I219,702263,,64,1064,1230974,,64,1064,1248353,,64,1064,1248178,,
,641,C349,51224,,891,C349,369690,,913,C349,553009,,67,1067,710749,,67,1067,723094,,3005,I219,765389,,
,1560,F03,50104,,3191,J189,307434,,3246,J189,384348,,2974,I219,710630,,2973,I219,714227,,67,1067,726789,,
,2077,I251,41171,,2829,I251,278301,,2093,F03,380447,,964,C349,613500,,968,C349,620750,,988,C349,631264,,
,2070,I219,37526,,5885,R99,240007,,2884,I251,371858,,3349,J189,466934,,3348,J189,462713,,3381,J189,458528,,
,2083,I259,36554,,5785,R54,226784,,6029,R99,310576,,6293,R99,428188,,2985,I251,425129,,6411,R99,417770,,
,2238,I64,22814,,2953,I509,221925,,3007,I509,279122,,2176,F03,387287,,6305,R99,418626,,3017,I251,392907,,
,2415,J189,19798,,2081,F03,210823,,2481,G309,258040,,26,1026,377256,,2163,F03,392373,,2191,F03,380425,,
,2471,J449,19549,,3266,J449,196197,,3054,I64,255090,,2986,I251,376722,,26,1026,376790,,26,1026,373225,,
,2044,I10,19194,,2456,G309,180385,,3321,J449,248913,,69,1069,336892,,69,1069,340515,,3188,I64,361483,,
,2191,I509,18818,,3000,I64,175708,,5922,R54,248629,,3157,I64,309342,,3156,I64,338100,,69,1069,340289,,
,769,C61,18163,,5891,U072,145263,,2890,I259,215695,,3110,I509,296375,,3109,I509,292370,,3141,I509,287089,,
,2046,I110,16962,,2789,I10,139777,,1011,C509,210708,,3430,J449,278964,,3434,J449,281278,,3467,J449,287087,,
,732,C509,16621,,989,C509,138708,,6034,U072,200356,,6186,R54,276337,,2991,I259,259334,,3023,I259,271622,,
,611,C259,16359,,2951,I500,132286,,1049,C61,195512,,2566,G309,258644,,2540,G309,258902,,2577,G309,261595,,
,2139,I42,14272,,1027,C61,131850,,883,C259,185494,,2992,I259,244424,,6200,R54,250256,,2976,I10,236245,,
,581,C189,12948,,2836,I259,128296,,2849,I10,165760,,1062,C509,225137,,2944,I10,227674,,6283,R54,231845,,
,1770,G20,10773,,861,C259,126861,,853,C189,160852,,2945,I10,221116,,1066,C509,225858,,1086,C509,225349,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Note that cause ""AAA"" refers to total deaths from all causes combined.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,U071,U072,Covid-19,,,,,,,,,,,,,,,,,,,,,
,,R99,,Uknown and unspecified causes,,,,,,,,,,,,,,,,,,,,,
,,C349,,,,,,,,,,,,,,,,,,,,,,,
