Country_code,Country_name,ISO_Alpha3,Latitude,Longitude
1010,Algeria,DZA,28.0000272,2.9999825
1020,Angola,AGO,-11.8775768,17.5691241
1025,Benin,BEN,9.5293472,2.2584408
1030,Botswana,BWA,-23.1681782,24.5928742
1035,Burkina Faso,BFA,12.0753083,-1.6880314
1040,Burundi,BDI,-3.426449,29.9324519
1045,Cameroon,CMR,4.6125522,13.1535811
1060,Cape Verde,,16.0000552,-24.0083947
1070,Central African Republic,CAF,7.0323598,19.9981227
1080,Chad,TCD,15.6134137,19.0156172
1090,Comoros,COM,-12.2045176,44.2832964
1100,Congo,COG,-2.9814344,23.8222636
1115,Cote d'Ivoire,,7.9897371,-5.5679458
1120,Djibouti,DJI,11.8145966,42.8453061
1125,Egypt,EGY,26.2540493,29.2675469
1130,Equatorial Guinea,GNQ,1.613172,10.5170357
1135,Eritrea,ERI,15.9500319,37.9999668
1140,Ethiopia,ETH,10.2116702,38.6521203
1160,Gabon,GAB,-0.8999695,11.6899699
1170,Gambia,GMB,13.470062,-15.4900464
1180,Ghana,GHA,8.0300284,-1.0800271
1190,Guinea,GIN,10.7226226,-10.7083587
1192,Guinea-Bissau,GNB,11.815215,-15.2351044
1220,Kenya,KEN,1.4419683,38.4313975
1230,Lesotho,LSO,-29.6039267,28.3350193
1240,Liberia,LBR,5.7499721,-9.3658524
1250,Libyan Arab Jamahiriya,,26.8234472,18.1236723
1260,Madagascar,MDG,-18.9249604,46.4416422
1270,Malawi,MWI,-13.2687204,33.9301963
1280,Mali,MLI,16.3700359,-2.2900239
1290,Mauritania,MRT,20.2540382,-9.2399263
1300,Mauritius,MUS,-20.2759451,57.5703566
1303,Mayotte,MYT,-12.823048,45.1520755
1310,Morocco,MAR,31.1728205,-7.3362482
1320,Mozambique,MOZ,-19.302233,34.9144977
1325,Namibia,NAM,-23.2335499,17.3231107
1330,Niger,NER,17.7356214,9.3238432
1340,Nigeria,NGA,9.6000359,7.9999721
1360,Reunion,,-21.1309332,55.5265771
1365,Rodrigues,,-19.7195149,63.4175938
